title,year,doi
Telling better stories: Competence-building narrative themes increase adolescent persistence and academic achievement,2018,10.1016/J.JESP.2017.12.006
Circumventing resistance to novel information: Piquing curiosity through strategic information revelation,2018,10.1016/J.JESP.2017.12.010
Overcoming the effects of sleep deprivation on unethical behavior: An extension of integrated self-control theory,2018,10.1016/J.JESP.2018.01.007
Discipline and desire: On the relative importance of willpower and purity in signaling virtue,2018,10.1016/J.JESP.2018.02.007
Addressing replicability concerns via adversarial collaboration: Discovering hidden moderators of the minimal intergroup discrimination effect,2018,10.1016/J.JESP.2018.05.001
Creative responses to imminent threats: The role of threat direction and perceived effectiveness,2018,10.1016/J.JESP.2017.09.013
The anchoring-bias in groups,2018,10.1016/J.JESP.2018.02.001
Analyzing ordinal data with metric models: What could possibly go wrong?,2018,10.1016/J.JESP.2018.08.009
Social inferences from group size,2017,10.1016/J.JESP.2016.11.005
Decisions in the face of known risks: Ostracism increases risky decision-making,2017,10.1016/J.JESP.2016.07.006
From impure to harmful: Asymmetric expectations about immoral agents ☆,2017,10.1016/J.JESP.2016.08.001
Unjustified side effects were strongly intended: Taboo tradeoffs and the side-effect effect,2017,10.1016/J.JESP.2016.05.006
Faced with exclusion: Perceived facial warmth and competence influence moral judgments of social exclusion,2017,10.1016/J.JESP.2016.06.005
"“Yuck, you disgust me!” Affective bias against interracial couples",2017,10.1016/J.JESP.2016.05.008
An autobiographical gateway: Narcissists avoid first-person visual perspective while retrieving self-threatening memories,2017,10.1016/J.JESP.2016.06.003
The effects of observed decision time on expectations of extremity and cooperation.,2017,10.1016/J.JESP.2016.05.009
Could two negative emotions be a positive? The effects of anger and anxiety in enemyship,2017,10.1016/J.JESP.2016.07.007
Culture as automatic processes for making meaning: Spontaneous trait inferences☆,2017,10.1016/J.JESP.2016.08.003
The social pain of Cyberball: Decreased pupillary reactivity to exclusion cues,2017,10.1016/J.JESP.2016.08.004
Selective exposure to deserved outcomes,2017,10.1016/J.JESP.2016.10.001
Pride before the fall: (Over)confidence predicts escalation of public commitment,2017,10.1016/J.JESP.2016.10.005
Emotional compensation in parents,2017,10.1016/J.JESP.2016.10.008
"Not I, but she: The beneficial effects of self-distancing on challenge/threat cardiovascular responses",2017,10.1016/J.JESP.2016.11.008
Processing fluency: An inevitable side effect of evaluative conditioning ☆,2017,10.1016/J.JESP.2017.01.004
Good enough—compromise between desirability and feasibility: An alternative perspective on satisficing,2017,10.1016/J.JESP.2017.01.002
A deterministic worldview promotes approval of state paternalism,2017,10.1016/J.JESP.2016.09.010
"Ingroups, outgroups, and the gateway groups between: The potential of dual identities to improve intergroup relations",2017,10.1016/J.JESP.2016.09.011
Persuasive message scrutiny as a function of implicit-explicit discrepancies in racial attitudes,2017,10.1016/J.JESP.2016.11.007
Both Selfishness and Selflessness Start with the Self: How Wealth Shapes Responses to Charitable Appeals,2017,10.1016/J.JESP.2016.11.009
Attention to context during evaluative learning and context-dependent automatic evaluation: A cross-cultural analysis☆,2017,10.1016/J.JESP.2016.12.002
Social projection to liked and disliked targets: The role of perceived similarity,2017,10.1016/J.JESP.2016.11.012
Spiritual experiences evoke awe through the small self in both religious and non-religious individuals,2017,10.1016/J.JESP.2016.11.006
"Observe, hypothesize, test, repeat: Luttrell, Petty and Xu (2017) demonstrate good science ☆",2017,10.1016/J.JESP.2016.12.005
The shooter bias: Replicating the classic effect and introducing a novel paradigm,2017,10.1016/J.JESP.2016.12.009
The impact of ingroup favoritism on self-esteem: A normative perspective,2017,10.1016/J.JESP.2016.12.013
The Self-Referencing task: Theoretical overview and empirical evidence,2017,10.1016/J.JESP.2017.02.006
How much information to sample before making a decision? It's a matter of psychological distance,2017,10.1016/J.JESP.2017.03.004
Music strengthens prosocial effects of interpersonal synchronization – If you move in time with the beat,2017,10.1016/J.JESP.2017.04.007
The role of valence weighting in impulse control,2017,10.1016/J.JESP.2016.11.014
Using independent covariates in experimental designs: Quantifying the trade-off between power boost and Type I error inflation,2017,10.1016/J.JESP.2017.04.011
Multicultural meritocracy: The synergistic benefits of valuing diversity and merit,2017,10.1016/J.JESP.2017.06.002
Generous heathens? Reputational concerns and atheists' behavior toward Christians in economic games,2017,10.1016/J.JESP.2017.06.015
"From incidental harms to moral elevation: The positive effect of experiencing unintentional, uncontrollable, and unavoidable harms on perceived moral character",2017,10.1016/J.JESP.2017.06.016
Training away bias: The differential effects of counterstereotype training and self-regulation on stereotype activation and application,2017,10.1016/J.JESP.2017.06.003
Interventionist external agents make specific advice less demotivating,2017,10.1016/J.JESP.2017.07.003
Creativity: Intuitive processing outperforms deliberative processing in creative idea selection,2017,10.1016/J.JESP.2017.06.009
The dark side of experiencing job autonomy: Unethical behavior,2017,10.1016/J.JESP.2017.05.007
Conceptual and visual representations of racial categories: Distinguishing subtypes from subgroups,2017,10.1016/J.JESP.2016.12.012
The hidden appeal and aversion to political conspiracies as revealed in the response dynamics of partisans,2017,10.1016/J.JESP.2017.07.008
Modeling collective action through media to promote social change and positive intergroup relations in violent conflicts,2017,10.1016/J.JESP.2016.07.005
Time to go! Leaving the group in response to norm-deviations,2017,10.1016/J.JESP.2017.07.005
Distant determination and near determinism: The role of temporal distance in prospective attributions to will ☆ ☆☆,2017,10.1016/J.JESP.2016.06.006
How many likes did I get?: Purpose moderates links between positive social media feedback and self-esteem.,2017,10.1016/J.JESP.2016.09.005
Abstractness leads people to base their behavioral intentions on desired attitudes,2017,10.1016/J.JESP.2016.12.004
Social dilemma cooperation (unlike Dictator Game giving) is intuitive for men as well as women.,2017,10.1016/j.jesp.2017.06.013
The expectancy bias: Expectancy-violating faces evoke earlier pupillary dilation than neutral or negative faces,2017,10.1016/J.JESP.2016.12.003
Group identification as a means of attitude restoration,2017,10.1016/J.JESP.2016.07.001
Haters are all the same: Perceptions of group homogeneity following positive vs. negative feedback,2016,10.1016/J.JESP.2016.01.013
Egocentrism and vicarious dissonance,2016,10.1016/J.JESP.2015.09.001
Vicarious hypocrisy: Bolstering attitudes and taking action after exposure to a hypocritical ingroup member,2016,10.1016/J.JESP.2015.09.014
"Understanding overconfidence: Theories of intelligence, preferential attention, and distorted self-assessment",2016,10.1016/J.JESP.2015.11.001
The empirical benefits of conceptual rigor: Systematic articulation of conceptual hypotheses can reduce the risk of non-replicable results (and facilitate novel discoveries too),2016,10.1016/J.JESP.2015.09.006
Reparation or reactance? The influence of guilt on reaction to persuasive communication☆,2016,10.1016/J.JESP.2015.09.016
Suspicion of Motives Predicts Minorities' Responses to Positive Feedback in Interracial Interactions.,2016,10.1016/J.JESP.2015.10.007
Understanding how common ingroup identity undermines collective action among disadvantaged-group members,2016,10.1016/J.JESP.2015.11.006
The morality of action : the asymmetry between judgments of praise and blame in the action–omission effect,2016,10.1016/J.JESP.2015.11.005
But it's my right! Framing effects on support for empowering policies,2016,10.1016/J.JESP.2015.11.007
Unpacking the psychological weight of weight stigma: A rejection-expectation pathway.,2016,10.1016/J.JESP.2015.12.003
The big man has a big mouth: Mouth width correlates with perceived leadership ability and actual leadership performance,2016,10.1016/J.JESP.2015.12.005
On incidental catalysts of elaboration: Reminders of environmental structure promote effortful thought,2016,10.1016/J.JESP.2016.01.001
Affective responses to ambivalence are context-dependent: A facial EMG study on the role of inconsistency and evaluative context in shaping affective responses to ambivalence,2016,10.1016/J.JESP.2016.02.001
Nice guys finish first when presented second: Responsive daters are evaluated more positively following exposure to unresponsive daters,2016,10.1016/J.JESP.2016.02.002
Angry Expressions Induce Extensive Processing of Persuasive Appeals,2016,10.1016/J.JESP.2016.02.004
Wanting a bird's eye to understand why: Motivated abstraction and causal uncertainty,2016,10.1016/J.JESP.2016.01.014
A burden for the boys: Evidence of stereotype threat in boys' reading performance,2016,10.1016/J.JESP.2016.02.008
Commentary: A big problem requires a foundational change,2016,10.1016/J.JESP.2016.01.008
Into the wild: Field research can increase both replicability and real-world impact,2016,10.1016/J.JESP.2015.09.018
"Charting the future of social psychology on stormy seas: Winners, losers, and recommendations",2016,10.1016/J.JESP.2016.02.003
"Promise, peril, and perspective: Addressing concerns about reproducibility in social–personality psychology",2016,10.1016/J.JESP.2016.01.005
"Myopic about climate change: Cognitive style, psychological distance, and environmentalism",2016,10.1016/J.JESP.2016.03.006
Disentangling sunk-costs and completion proximity: The role of regulatory focus,2016,10.1016/J.JESP.2016.04.006
"Time, Money, and Happiness: Does Putting a Price on Time Affect Our Ability to Smell the Roses?",2016,10.1016/J.JESP.2015.08.005
Approach-motivated positive affect reduces breadth of attention: Registered replication report of Gable and Harmon-Jones (2008),2016,10.1016/J.JESP.2015.09.003
Exact replications in an inexact context: Commentary on Ebersole et al. (2016),2016,10.1016/J.JESP.2015.12.008
"Assessing the Motivational Dimensional Model of emotion–cognition interaction: Comment on Domachowska, Heitmann, Deutsch, et al., (2016)",2016,10.1016/J.JESP.2015.10.004
Commentary on Ebersole et al. (2016),2016,10.1016/J.JESP.2016.04.002
Methodological choices have predictable consequences in replicating studies on motivation to think: Commentary on Ebersole et al. (2016),2016,10.1016/J.JESP.2015.12.007
Does playing video games with violent content temporarily increase aggressive inclinations? A pre-registered experimental study,2016,10.1016/J.JESP.2015.10.009
Be careful what you wish for: Commentary on Ebersole et al. (2016),2016,10.1016/J.JESP.2016.01.007
"Replications with MTurkers who are naïve versus experienced with academic studies: A comment on Connors, Khamitov, Moroz, Campbell, and Henderson (2015)",2016,10.1016/J.JESP.2015.11.004
"Warmer hearts, and warmer, but noisier rooms: Communality does elicit warmth, but only for those in colder ambient temperatures — Commentary on Ebersole et al. (2016)",2016,10.1016/J.JESP.2015.12.004
Homelike thermoregulation: How physical coldness makes an advertised house a home,2016,10.1016/J.JESP.2015.10.008
Power and perspective-taking: A critical examination,2016,10.1016/J.JESP.2015.12.002
"Exploring Small, Confirming Big: An alternative system to The New Statistics for advancing cumulative and replicable psychological research",2016,10.1016/J.JESP.2015.09.013
Are most published social psychological findings false,2016,10.1016/J.JESP.2015.09.017
Instructing implicit processes: When instructions to approach or avoid influence implicit but not explicit evaluation,2016,10.1016/J.JESP.2015.11.002
Ambivalence and certainty can interact to predict attitude stability over time,2016,10.1016/J.JESP.2015.11.008
Approaching a fair deal for significance and other concerns.,2016,10.1016/J.JESP.2016.01.010
Partisan underestimation of the polarizing influence of group discussion.,2016,10.1016/J.JESP.2016.03.002
Does the conclusion follow from the evidence? Recommendations for improving research,2016,10.1016/J.JESP.2015.09.011
On the scientific superiority of conceptual replications for scientific progress,2016,10.1016/J.JESP.2015.10.002
Pre-registration in social psychology—A discussion and suggested template,2016,10.1016/J.JESP.2016.03.004
Keep in touch: The effects of imagined touch support on stress and exploration,2016,10.1016/J.JESP.2016.04.001
Design approaches to experimental mediation.,2016,10.1016/J.JESP.2015.09.012
Many Labs 3: Evaluating participant pool quality across the academic semester via replication,2016,10.1016/J.JESP.2015.10.012
Going along versus getting it right: The role of self-integrity in political conformity,2015,10.1016/J.JESP.2014.08.008
Referent status neglect: Winners evaluate themselves favorably even when the competitor is incompetent,2015,10.1016/J.JESP.2014.08.004
Visceral needs and donation decisions: Do people identify with suffering or with relief?,2015,10.1016/J.JESP.2014.08.005
A desire for deviance: The influence of leader normativeness and inter-group competition on group member support,2015,10.1016/J.JESP.2014.08.006
Gender differences in trust dynamics: Women trust more than men following a trust violation,2015,10.1016/J.JESP.2014.09.007
Prospective moral licensing: Does anticipating doing good later allow you to be bad now?,2015,10.1016/J.JESP.2014.09.009
Loss of control stimulates approach motivation,2015,10.1016/J.JESP.2014.10.009
Supine body posture decreases rationalizations: Testing the action-based model of dissonance,2015,10.1016/J.JESP.2014.10.007
Promoting connection: Perspective-taking improves relationship closeness and perceived regard in participants with low implicit self-esteem,2015,10.1016/J.JESP.2014.09.013
Sense of interpersonal security and preference for harsh actions against others: The role of dehumanization,2015,10.1016/J.JESP.2014.09.014
How do I look? Focusing attention on the outside body reduces responsiveness to internal signals in food intake,2015,10.1016/J.JESP.2014.10.003
Social exclusion causes a shift toward prevention motivation,2015,10.1016/J.JESP.2014.09.011
The nonverbal environment of self-esteem: Interactive effects of facial-expression and eye-gaze on perceivers' self-evaluations,2015,10.1016/J.JESP.2014.09.010
Holding a silver lining theory: When negative attributes heighten performance☆,2015,10.1016/J.JESP.2014.11.001
It's fair for us: Diversity structures cause women to legitimize discrimination,2015,10.1016/J.JESP.2014.11.010
Fearing the uncertain: Self-uncertainty plays a role in mortality salience,2015,10.1016/J.JESP.2014.11.007
The interactive effect of positive inequity and regulatory focus on work performance,2015,10.1016/J.JESP.2014.11.009
"The downside of looking like a leader: Power, nonverbal confidence, and participative decision-making",2015,10.1016/J.JESP.2014.12.004
Americans overestimate social class mobility,2015,10.1016/J.JESP.2015.01.005
Diverging effects of mortality salience on variety seeking: The different roles of death anxiety and semantic concept activation,2015,10.1016/J.JESP.2015.01.008
The mnemonic muse: Nostalgia fosters creativity through openness to experience,2015,10.1016/J.JESP.2015.02.002
How foreign language shapes moral judgment,2015,10.1016/J.JESP.2015.02.001
Why do highly visible people appear more important? ☆: Affect mediates visual fluency effects in impression formation,2015,10.1016/J.JESP.2015.01.007
A transformative taste of home: Home culture primes foster expatriates' adjustment through bolstering relational security,2015,10.1016/J.JESP.2015.02.004
Something smells fishy: Olfactory suspicion cues improve performance on the Moses illusion and Wason rule discovery task,2015,10.1016/J.JESP.2015.03.006
"When threat matters: Self-regulation, threat salience, and stereotyping",2015,10.1016/J.JESP.2015.03.003
Choice Architecture in Conflicts of Interest: Defaults as Physical and Psychological Barriers to (Dis)Honesty,2015,10.1016/J.JESP.2015.04.004
Historical group victimization entails moral obligations for descendants,2015,10.1016/J.JESP.2015.04.003
"Running for your life, in context: Are rightists always less likely to consider fleeing their country when fearing future events?",2015,10.1016/J.JESP.2015.04.001
Will you value me and do I value you? The effect of phenotypic racial stereotypicality on organizational evaluations,2015,10.1016/J.JESP.2015.03.008
The politics of luck: Political ideology and the perceived relationship between luck and success,2015,10.1016/J.JESP.2015.03.002
The impact of a relational mindset on information distortion,2015,10.1016/J.JESP.2015.04.007
"The influence of desire and knowledge on perception of each other and related mental states, and different mechanisms for blame",2015,10.1016/J.JESP.2015.04.009
The way I make you feel: Social exclusion enhances the ability to manage others' emotions,2015,10.1016/J.JESP.2015.05.003
Give a piece of you: Gifts that reflect givers promote closeness,2015,10.1016/J.JESP.2015.04.006
The great escape: The role of self-esteem and self-related cognition in terror management.,2015,10.1016/J.JESP.2015.05.006
The role of motivation for rewards in vicarious goal satiation,2015,10.1016/J.JESP.2015.05.010
Word-order and causal inference: The temporal attribution bias ☆,2015,10.1016/J.JESP.2015.05.011
Processing goals moderate the effect of co-occurrence on automatic evaluation,2015,10.1016/J.JESP.2015.05.009
Creation in judgments about the establishment of ownership,2015,10.1016/J.JESP.2015.04.011
On being judged by the company you keep: The effects of group consensus and target behavior on impressions of individual group members,2015,10.1016/J.JESP.2015.06.001
The hard-knock life? Whites claim hardships in response to racial inequity.,2015,10.1016/J.JESP.2015.06.008
"Group communicators, perceived entitativity, and persuasion: A self-validation analysis",2015,10.1016/J.JESP.2015.06.005
What's in a name? The toll e-signatures take on individual honesty,2015,10.1016/J.JESP.2015.07.010
When self-perceptions of expertise increase closed-minded cognition: The earned dogmatism effect,2015,10.1016/J.JESP.2015.08.003
Gendered race prototypes: Evidence for the non-prototypicality of Asian men and Black women.,2015,10.1016/J.JESP.2014.09.012
Differences in Expressivity Based on Attractiveness: Target or Perceiver Effects?,2015,10.1016/J.JESP.2015.05.012
“Ingroup love” and “outgroup hate” in intergroup conflict between natural groups,2015,10.1016/J.JESP.2015.04.008
What influences managers' procedural fairness towards their subordinates? The role of subordinates' trustworthiness,2015,10.1016/J.JESP.2015.04.002
Holding on to what might have been may loosen (or tighten) the ties that bind us: A counterfactual potency analysis of previous dating alternatives,2015,10.1016/J.JESP.2014.08.007
Focused on fairness: Alcohol intoxication increases the costly rejection of inequitable rewards,2014,10.1016/J.JESP.2013.08.006
An approach to test for individual differences in the effects of situations without using moderator variables.,2014,10.1016/J.JESP.2013.08.008
"Individual differences in valence weighting: When, how, and why they matter",2014,10.1016/J.JESP.2013.09.013
"Pushing the boundaries of human expertise in face perception: Emotion expression identification and error as a function of presentation angle, presentation time, and emotion",2014,10.1016/J.JESP.2013.10.001
Power and retributive justice: How trait information influences the fairness of punishment among power holders,2014,10.1016/J.JESP.2013.10.004
When does heat promote hostility? Person by situation interactions shape the psychological effects of haptic sensations,2014,10.1016/J.JESP.2013.10.006
Latent Scope Bias in Categorization,2011,10.1016/J.JESP.2013.11.010
Withstanding moral disengagement: Attachment security as an ethical intervention ☆,2014,10.1016/J.JESP.2013.11.005
Construing creativity: The how and why of recognizing creative ideas,2014,10.1016/J.JESP.2013.11.007
Self-affirmation counters the effects of self-regulatory resource depletion on height perception,2014,10.1016/J.JESP.2014.01.003
How perceptions of temporal distance influence satiation,2014,10.1016/J.JESP.2014.01.008
How do you feel now? On the perceptual distortion of extremely recent changes in anger,2014,10.1016/J.JESP.2014.01.004
Feeling socially connected increases utilitarian choices in moral dilemmas,2014,10.1016/J.JESP.2014.01.011
Culture and the role of exchange vs. communal norms in friendship,2014,10.1016/J.JESP.2014.02.006
Averted eye-gaze disrupts configural face encoding☆,2014,10.1016/J.JESP.2014.03.002
Are liars ethical? On the tension between benevolence and honesty,2014,10.1016/J.JESP.2014.03.005
Not always the best medicine: Why frequent smiling can reduce wellbeing,2014,10.1016/J.JESP.2014.03.001
The canny social judge: Predicting others' attitudes from sparse information,2014,10.1016/J.JESP.2014.03.008
"Seeking help from the low status group: Effects of status stability, type of help and social categorization",2014,10.1016/J.JESP.2014.03.010
Epistemic motives moderate the effect of metaphoric framing on attitudes,2014,10.1016/J.JESP.2014.03.009
Ego depletion decreases trust in economic decision making.,2014,10.1016/J.JESP.2014.04.004
Prejudice towards gay men and a need for physical cleansing,2014,10.1016/J.JESP.2014.04.001
Know who you're up against: Counterpart identifiability enhances competitive behavior,2014,10.1016/J.JESP.2014.04.009
The influence of regulatory focus and group vs. individual goals on the evaluation bias in the context of group decision making,2014,10.1016/J.JESP.2014.05.009
The serial reproduction of conflict: Third parties escalate conflict through communication biases☆,2014,10.1016/J.JESP.2014.04.006
Social dominance orientation moderates reactions to Black and White discrimination claimants,2014,10.1016/J.JESP.2014.04.005
From fighting the system to embracing it: control loss promotes system justification among those high in psychological reactance,2014,10.1016/J.JESP.2014.04.012
What you hear shapes how you think: Sound patterns change level of construal,2014,10.1016/J.JESP.2014.05.002
Embodied metaphor and abstract problem solving: Testing a metaphoric fit hypothesis in the health domain,2014,10.1016/J.JESP.2014.05.012
Using the bogus pipeline to investigate grandiose narcissism,2014,10.1016/J.JESP.2014.05.015
Students' expectations of ageing: An evaluation of the impact of imagined intergenerational contact and the mediating role of ageing anxiety,2014,10.1016/J.JESP.2014.06.001
When consequence size predicts belief in conspiracy theories: The moderating role of perspective taking,2014,10.1016/J.JESP.2014.06.006
Moral hypocrisy: impression management or self-deception? ☆,2014,10.1016/J.JESP.2014.06.004
"When perception says ""no"" to action: Approach cues make steep hills appear even steeper",2014,10.1016/J.JESP.2014.06.005
The hierarchy enforcement hypothesis of environmental exploitation: A social dominance perspective☆,2014,10.1016/J.JESP.2014.07.006
Spontaneous social role inferences,2014,10.1016/J.JESP.2014.07.003
Sympathy for the devil? The physiological and psychological effects of being an agent (and target) of dissent during intragroup conflict,2014,10.1016/J.JESP.2014.07.011
How social identity shapes the working self-concept,2014,10.1016/J.JESP.2014.07.015
Impact of money on emotional expression,2014,10.1016/J.JESP.2014.07.013
Concerns about losing face moderate the effect of visual perspective on health-related intentions and behaviors.,2014,10.1016/J.JESP.2014.07.010
The interplay of oxytocin and collectivistic orientation shields against negative effects of ostracism,2014,10.1016/J.JESP.2014.07.016
When the motivational consequences of ego depletion collide: Conservation dominates over reward-seeking,2014,10.1016/J.JESP.2014.07.009
When justice surrenders: The effect of just-world beliefs on aggression following ostracism☆,2014,10.1016/J.JESP.2014.01.006
"Paving the road to preferential treatment with good intentions: Empathy, accountability and fairness",2014,10.1016/J.JESP.2013.09.001
How diversity training can change attitudes: Increasing perceived complexity of superordinate groups to improve intergroup relations ☆,2014,10.1016/J.JESP.2014.03.013
Cues of working together fuel intrinsic motivation,2014,10.1016/J.JESP.2014.03.015
An affirmed self and a better apology: The effect of self-affirmation on transgressors' responses to victims.,2014,10.1016/J.JESP.2014.04.013
The mind in the machine: Anthropomorphism increases trust in an autonomous vehicle,2014,10.1016/J.JESP.2014.01.005
Self-affirmation counteracts the effects of burdens on judgments of distance,2014,10.1016/J.JESP.2013.09.006
Writing autobiographical narratives increases political conservatism,2013,10.1016/J.JESP.2013.03.008
After All I Have Done For You: Self-silencing Accommodations Fuel Women's Post-Rejection Hostility.,2013,10.1016/J.JESP.2013.03.009
Ecological contingencies in women's calorie regulation psychology: A life history approach ☆,2013,10.1016/J.JESP.2013.03.016
"The flexible unconscious : Investigating the judgmental impact of varieties of unaware perception (Retraction of vol 42, pg 112, 2006)",2013,10.1016/J.JESP.2013.03.004
Exploring the relationship between adult attachment style and the identifiable victim effect in helping behavior,2013,10.1016/J.JESP.2013.02.011
Enhancing static facial features increases intimidation,2013,10.1016/J.JESP.2013.02.015
Moral contagion effects in everyday interpersonal encounters,2013,10.1016/J.JESP.2013.04.009
Status boundary enforcement and the categorization of black–white biracials,2013,10.1016/J.JESP.2013.04.010
It's what's inside that counts: The role of counterfactual content in intention formation,2013,10.1016/J.JESP.2013.05.004
Of two minds: The interactive effect of construal level and identity on political polarization,2013,10.1016/J.JESP.2013.06.002
Controlling death by defending ingroups — Mediational insights into terror management and control restoration,2013,10.1016/J.JESP.2013.05.014
Seeing the world with the eyes of the outgroup — The impact of perspective taking on the prototypicality of the ingroup relative to the outgroup,2013,10.1016/J.JESP.2013.07.007
The arousal model of moral condemnation,2013,10.1016/J.JESP.2013.06.006
When stepping outside the self is not enough: A self-distanced perspective reduces the experience of basic but not of self-conscious emotions,2013,10.1016/J.JESP.2013.07.006
The malleable influence of social consensus on attitude certainty,2013,10.1016/J.JESP.2013.07.001
"Collective self-continuity, group identification and in-group defense",2013,10.1016/J.JESP.2013.06.004
Sinful flesh: Sexual objectification threatens women's moral self,2013,10.1016/J.JESP.2013.07.008
Narrowing down to the automatically activated attitude: A narrowed conceptual scope improves correspondence between implicitly and explicitly measured attitudes,2013,10.1016/J.JESP.2012.07.018
"Romantic red revisited: Red enhances men's attraction to young, but not menopausal women.",2013,10.1016/J.JESP.2012.08.004
Guilty by mere similarity: Assimilative effects of facial resemblance on automatic evaluation,2013,10.1016/J.JESP.2012.07.016
Activating the inner caregiver: The role of support-giving schemas in increasing state self-compassion,2013,10.1016/J.JESP.2012.07.015
Communicating about others: Motivations and consequences of race-based impressions,2013,10.1016/J.JESP.2012.08.013
Tit for tat in the face of death: The effect of mortality salience on reciprocal behavior,2013,10.1016/J.JESP.2012.06.002
"Admiration regulates social hierarchy: Antecedents, dispositions, and effects on intergroup behavior",2013,10.1016/J.JESP.2012.10.007
Transcending the physical: Being social and identifying transcendental meaning in behavior,2013,10.1016/J.JESP.2012.10.005
The unhealthy road not taken: Licensing indulgence by exaggerating counterfactual sins,2013,10.1016/J.JESP.2012.08.012
The powerful size others down: The link between power and estimates of others' size,2013,10.1016/J.JESP.2012.10.003
"The Development of Reasoning about Beliefs: Fact, Preference, and Ideology.",2013,10.1016/J.JESP.2012.09.005
Living with an other-race roommate shapes Whites' behavior in subsequent diverse settings,2013,10.1016/J.JESP.2012.10.020
